#{"t_start": 1658822712.01424, "env_id": "CarRacing-v1"}
r,l,t
-6.976744,1000,3526.879611
-38.511327,1000,3536.244984
-27.152318,1000,3543.212525
28.867416,173,3546.525731
-32.862191,1000,3553.375576
-54.437931,304,3555.48222
-26.829268,1000,3564.410749
1.559108,175,3565.661451
-44.262295,1000,3572.565644
-30.795848,1000,3580.859295
-31.596091,1000,3587.371438
-37.5,1000,3596.599492
-27.33564,1000,3604.129948
-59.008185,374,3606.890969
-16.666667,1000,3615.868815
-30.463576,1000,3622.686926
-51.332432,190,3623.998393
-32.258065,1000,3632.768351
-31.888545,1000,3639.931027
-26.829268,1000,3648.580836
-18.819188,1000,3655.939347
-30.463576,1000,3667.206097
-29.487179,1000,3674.931298
-21.146953,1000,3684.27367
-19.58042,1000,3691.184605
-26.517572,1000,3700.18759
-17.96875,1000,3707.925898
-28.082192,1000,3717.597589
27.090301,1000,3725.326271
-24.342105,1000,3734.726257
-18.367347,1000,3742.021779
-9.090909,1000,3750.327392
-25.531915,1000,3757.211296
-32.307692,1000,3766.517539
-19.732441,1000,3774.357345
-21.824104,1000,3784.111647
-38.311688,1000,3791.622907
-5.882353,1000,3800.785462
42.857143,1000,3808.162938
-19.117647,1000,3817.744547
-34.98452,1000,3826.73316
-33.962264,1000,3838.269879
-16.545614,184,3840.107285
-33.333333,1000,3847.849899
-23.875433,1000,3856.793802
-17.808219,1000,3863.878641
20.577821,196,3865.257812
-29.530201,1000,3874.262182
39.494737,185,3875.654493
-33.962264,1000,3882.703688
-31.818182,1000,3891.529991
-9.42029,1000,3898.417257
-34.169279,1000,3907.898615
13.72549,1000,3915.362603
-23.344948,1000,3923.843731
-24.137931,1000,3930.669773
-31.034483,1000,3940.055033
-52.231915,268,3941.893682
3.092784,1000,3949.22671
-51.089855,309,3954.314915
-29.952117,180,3955.851426
-23.84106,1000,3963.551724
-16.376307,1000,3972.565478
-13.621262,1000,3980.125269
-40.17094,1000,3989.627692
-20.415225,1000,3996.794654
-20.577617,1000,4005.872897
13.38169,170,4007.179841
-38.235294,1000,4015.186114
-50.437318,1000,4025.321932
-27.586207,1000,4032.377835
1.134395,168,4033.682761
-17.241379,1000,4043.011745
-31.25,1000,4050.441107
-18.367347,1000,4059.606529
-29.577465,1000,4066.670813
-29.36803,1000,4075.649787
25.49387,202,4077.050305
-25.081433,1000,4084.376646
11.401887,170,4085.582961
-30.463576,1000,4094.670428
-29.487179,1000,4101.946344
-33.290429,291,4104.695641
-25.233645,1000,4113.940546
5.105105,1000,4121.398499
-21.824104,1000,4130.284732
-17.578967,210,4131.864592
-32.659933,1000,4139.335255
-59.621713,270,4143.487971
3.089655,177,4144.846639
-5.660377,1000,4151.794831
-26.421405,1000,4161.030815
-7.142857,1000,4168.56635
8.108108,1000,4178.325783
-23.333333,1000,4185.583759
-25.266904,1000,4194.542291
-28.082192,1000,4201.889435
-13.043478,1000,4211.40325
-19.708029,1000,4218.373829
23.283607,178,4219.737495
-0.091093,176,4221.000629
-22.330097,1000,4230.042073
-3.474903,1000,4237.033262
-20.863309,1000,4246.202803
-33.121019,1000,4253.260795
-22.178988,1000,4262.693165
-22.794118,1000,4269.532992
-16.058394,1000,4278.285575
-28.571429,1000,4285.336401
-34.85342,1000,4294.626874
-25.423729,1000,4302.130013
-44.572996,375,4304.578209
-31.596091,1000,4313.497937
-26.573427,1000,4320.580185
-21.768707,1000,4329.72277
-4.214559,1000,4336.451764
-36.231884,1000,4345.740555
-39.393939,1000,4352.887497
-27.051672,1000,4361.928438
-25.795053,1000,4368.601901
-17.525773,1000,4377.544564
-33.717579,1000,4384.623239
-24.836601,1000,4393.315485
26.811594,1000,4400.583044
-3.474903,1000,4409.839174
4.166667,1000,4417.364356
-13.461538,1000,4426.430341
-24.731183,1000,4433.119215
-21.428571,1000,4442.222765
-18.215613,1000,4449.322971
-15.384615,1000,4458.197601
-22.916788,909,4464.61017
-27.33564,1000,4473.897637
-96.629268,699,4478.862083
-38.080495,1000,4485.960417
-24.460432,1000,4494.547326
-20.689655,1000,4501.487538
-32.692308,1000,4510.742516
-28.338762,1000,4517.553056
-25.0,1000,4526.182313
-26.421405,1000,4532.786665
-115.527645,873,4540.741813
-25.675676,1000,4547.758523
-96.985816,751,4554.741709
-25.675676,1000,4561.839327
-25.423729,1000,4571.056873
-14.728682,1000,4577.937481
6.935616,370,4580.654871
10.26616,1000,4589.25638
-30.921053,1000,4596.380416
18.927586,260,4598.257755
-13.043478,1000,4607.111426
-24.81203,1000,4614.284887
-7.142857,1000,4623.460785
-28.802589,1000,4630.811074
-40.84507,1000,4640.014577
-19.708029,1000,4647.139425
-9.407666,1000,4656.381519
1.596774,356,4658.92625
-24.590164,1000,4665.982961
31.746154,222,4669.445106
-23.84106,1000,4676.482709
-29.230769,1000,4683.630979
-31.596091,1000,4692.719863
-35.59322,1000,4699.923946
0.719424,1000,4708.944146
-24.590164,1000,4716.197079
-36.599424,1000,4725.650809
-27.152318,1000,4732.814848
-45.402299,1000,4744.043137
-31.147541,1000,4752.815245
-21.768707,1000,4763.193461
-31.034483,1000,4770.906531
-25.531915,1000,4780.347486
-31.034483,1000,4787.636442
-31.25,1000,4796.616727
4.026846,1000,4804.382667
0.0,1000,4813.781701
-18.918919,1000,4820.625121
-12.052117,1000,4829.998211
-20.689655,1000,4837.113785
-22.033898,1000,4845.711293
-13.793103,1000,4852.786114
-14.498141,1000,4861.568447
-31.372549,1000,4868.569046
-33.544304,1000,4877.68925
-24.657534,1000,4885.540989
-29.878049,1000,4894.875064
-24.187726,1000,4901.739222
-46.031746,1000,4910.802543
82.63463,198,4912.283299
-34.256055,1000,4919.5271
